ID,Priority,Area,Phase,Owner role,Status,Next acceptance check,Integration note
IMS-022,P1,Staff schedule UX,R1,Design + Engineering,Open,"Provide Today/Week/Agenda with trainer filters, explicit PT labels, request queue and session drawer. Show duration, location, recurrence and balance context before confirmation.",
IMS-023,P1,Client navigation,R2,Design + Engineering,"Implemented, verify","Use five client destinations: Today, Plan, Book, Progress, Coach. Place history within Plan, account in the header. Keep the next session and current workout prominent and use consistent labels.",Competing plan hubs combined; broader navigation naming review still open.
IMS-024,P1,Balance UX,R2,Design + Engineering,Open,"Show remaining sessions, usage ledger, next renewal and payment state separately. Display processing/failure states until webhook reconciliation is complete. Require reasons and history for balance adjustments.",
IMS-025,P1,Accessibility,R2,Design + Engineering,"Implemented, verify","Allow zoom, supply focus traps/return, Escape, labels and announced errors. Check contrast, 44px primary targets, reduced motion and keyboard-only operation at 200% zoom.",Browser zoom restored; keyboard and screen-reader modal verification pending.
IMS-026,P2,UI state coverage,R2,Design + Engineering,Open,"Review loading, empty, error, saving, success and permission states for each key flow at 360/390/430px and desktop. Preserve drafts and give specific recovery actions.",
IMS-027,P2,Media,R2,Engineering + Jason,Open,"Verify signed URL expiry, poster images, captions/transcript support, upload limits, retry, delete and ownership. Separate general library assets from client-specific recordings.",
IMS-028,P0,Migration data,R3,Jason + Engineering,Open,Reconcile owner-confirmed package balances and recurring frequency in the private migration workbook; signed review before import.,
IMS-029,P0,Migration rehearsal,R3,Engineering + Jason + Gabe,Open,"Dry-run an idempotent import in staging. Compare per-client, per-trainer and per-date totals, source IDs, exception handling and balances. Re-run with no duplicates and sign off before cutover.",
IMS-030,P1,Operations,R1,Engineering,Open,"Add actionable errors, correlation IDs and health checks. Alert on unprocessed payments, stale recurring horizon, failed reminders and generation failures without logging private assessment data.",
IMS-031,P0,Rollback,R1,Engineering + Jason,Open,"Record known-good app and generator deployments, back up before migrations, test restore in staging and use backward-compatible schema changes. Define who stops rollout and what triggers rollback.",
IMS-032,P2,Database tuning,Later,Engineering,Open,"Review actual query plans and consolidate policies without changing intended access. Add useful indexes, review function grants/deleted-staff handling and document service-only tables. Do not blindly delete 61 “unused” indexes.",
IMS-033,P2,Documentation,R0,Engineering,Open,"Replace stale launch notes with one release record containing SHAs, schema version, environment matrix, test evidence, feature holds and rollback steps.",
IMS-034,P2,Website leads,R2,Engineering,"Implemented, verify","Verify the marketing site sends server-to-server requests, enforce idempotency and route auth, preserve existing lead lifecycle/notes and expose failed-sync recovery.",Website endpoint integrated and proxy path fixed; atomic dedupe and end-to-end test pending.
IMS-035,P2,Consultations,R2,Engineering + Jason,"Implemented, verify","Verify request versus confirmed-booking language, service duration, available time and follow-up ownership. A public consultation must not bypass conflict or abuse controls.",Consultation branch integrated; public journey verification pending.
IMS-036,P2,PDF experience,R2,Design + Jason,Open,"Design a concise client overview plus daily instructions. Reduce repetitive material without dropping prescribed weeks/exercises. Visually review page breaks, units, videos and coach/private separation.",
IMS-038,P2,Performance,R2,Engineering,Open,"Measure LCP/INP/CLS and query latency on representative devices/data. Optimize images, pagination and duplicate fetching where measurements justify it. Set a repeatable performance budget.",
IMS-039,P0,End-to-end release,R1,Engineering + Jason + Gabe,Open,"Run the complete role matrix in staging. Jason and Gabe accept schedule/client tasks, and a test client completes plan, booking and coach-message journeys. Attach recordings or screenshots to the release record.",
IMS-040,P1,Reconciliation,R3,Jason + Gabe + Engineering,Open,"Produce reconciled client, appointment, package usage and payment exports. Resolve the private workbook scheduling exceptions. Define a cutover freeze, delta import and one sending/billing system.",
